mission_id,scenario,seed,spawn_index,target_speed_ms,duration_s,attack,attack_start_s,attack_channels,attack_mode,naive_bias_lat_m,naive_bias_lon_m,naive_noise_std_m,naive_bias_lat_start_m,naive_bias_lon_start_m,naive_bias_lat_step_m,naive_bias_lon_step_m,naive_bias_psi_start_deg,naive_bias_psi_step_deg,naive_bias_v_start_mps,naive_bias_v_step_mps,attack_acc_delay_s,attack_v_replay_lag_s,attack_gyro_dos,attack_v_dos
M0000,S1,20260870782430,64,9.23,213.3,enable,40.3,lat lon,naive,7.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0001,S1,20260870782431,144,9.89,242.9,enable,28.1,lat lon,naive,7.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0002,S1,20260870782432,146,6.83,254.9,enable,38.8,lat lon,naive,7.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0003,S1,20260870782433,152,9.6,223.4,enable,51.4,lat lon,naive,5.5,7.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0004,S1,20260870782434,44,8.82,272.4,enable,30.8,lat lon,naive,8.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0005,S1,20260870782435,65,7.49,207.8,enable,13.7,lat lon,naive,5.5,8.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0006,S1,20260870782436,5,8.39,159.1,enable,46.3,lat lon,naive,8.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0007,S1,20260870782437,26,6.09,239.1,enable,65.2,lat lon,naive,8.5,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0008,S1,20260870782438,0,9.38,215.1,enable,29.6,lat lon,naive,8.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0009,S1,20260870782439,86,7.51,151.7,enable,42.7,lat lon,naive,7.5,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0010,S1,20260870782440,26,8.46,266.7,enable,47.6,lat lon,naive,7.5,8.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0011,S1,20260870782441,106,8.59,264.7,enable,54.6,lat lon,naive,7.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0012,S1,20260870782442,54,8.83,294.6,enable,23.4,lat lon,naive,5.0,5.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0013,S1,20260870782443,102,6.75,184.0,enable,28.0,lat lon,naive,7.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0014,S1,20260870782444,6,7.9,164.6,enable,24.3,lat lon,naive,5.0,7.5,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
M0015,S1,20260870782445,129,9.31,164.5,enable,30.9,lat lon,naive,6.5,6.0,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disable,disable
