mission_id,scenario,alarm_member,onset_row,alarm_row,untrusted_onset_row,horizon_end_row,detection_delay_s,detection_verdict,recon_max_err_m,driven_interval_s,time_in_band_s,deviation_at_handover_m,max_deviation_m,collisions,peak_impulse,recovered_within_5m
M0000,S1,lat_lon:45:12:0.3:99.995:global:3,806,820,762,920.0,0.7,detected,2.033478970588303,7.85,7.85,3.7487944868448384,4.030462802506364,0.0,0.0,1.0
M0001,S1,lat_lon:45:12:0.3:99.995:global:3,562,577,519,677.0,0.75,detected,2.0179510725456558,7.85,7.85,3.019216535580858,3.780721390821988,0.0,0.0,1.0
M0002,S1,lat_lon:45:12:0.3:99.995:global:3,776,784,726,884.0,0.4,detected,2.113964102185752,7.85,7.85,3.761194252751263,3.878053138449493,0.0,0.0,1.0
M0003,S1,lat_lon:45:12:0.3:99.995:global:3,1028,1039,981,1139.0,0.55,detected,1.99972618236344,7.85,7.85,3.55478239851919,3.713956635750847,0.0,0.0,1.0
M0004,S1,lat_lon:45:12:0.3:99.995:global:3,616,625,567,725.0,0.45,detected,2.0464082611616643,7.85,7.85,3.066781178379447,3.484374908525076,0.0,0.0,1.0
M0005,S1,lat_lon:45:12:0.3:99.995:global:3,274,283,225,383.0,0.45,detected,2.1448942401435382,7.85,7.85,3.881015442635923,4.670447662553695,0.0,0.0,1.0
M0006,S1,lat_lon:45:12:0.3:99.995:global:3,926,934,876,1034.0,0.4,detected,1.1447998196610858,7.85,7.85,2.516561357585912,4.033440140063948,0.0,0.0,1.0
M0007,S1,lat_lon:45:12:0.3:99.995:global:3,1304,1312,1254,1412.0,0.4,detected,3.11499191601819,7.85,7.85,0.9170278515993404,4.276748880590806,0.0,0.0,1.0
M0008,S1,lat_lon:45:12:0.3:99.995:global:3,592,607,549,707.0,0.75,detected,2.0205879382589824,7.85,7.85,1.6152646620476,3.225752976985456,0.0,0.0,1.0
M0009,S1,lat_lon:45:12:0.3:99.995:global:3,854,862,804,962.0,0.4,detected,2.110322880309825,7.85,7.85,1.1360794195564343,3.2658715909245,0.0,0.0,1.0
M0010,S1,lat_lon:45:12:0.3:99.995:global:3,952,961,903,1061.0,0.45,detected,2.634381627486313,7.85,7.85,1.8941701928763903,2.9872595053036943,0.0,0.0,1.0
M0011,S1,lat_lon:45:12:0.3:99.995:global:3,1092,1108,1050,1208.0,0.8,detected,1.0669294177679116,7.85,7.85,0.8286745435866218,2.448708060625503,0.0,0.0,1.0
M0012,S1,lat_lon:45:12:0.3:99.995:global:3,468,484,426,584.0,0.8,detected,1.7018424198711437,7.85,7.85,1.0300280964362554,2.338621443699444,0.0,0.0,1.0
M0013,S1,lat_lon:45:12:0.3:99.995:global:3,560,568,510,668.0,0.4,detected,2.363315506033491,7.85,7.85,2.92407337485616,3.97629494481377,0.0,0.0,1.0
M0014,S1,lat_lon:45:12:0.3:99.995:global:3,486,496,438,596.0,0.5,detected,2.2419465324057697,7.5,7.5,4.266485470776751,5.070584922452267,0.0,0.0,1.0
M0015,S1,lat_lon:45:12:0.3:99.995:global:3,618,628,570,728.0,0.5,detected,2.0310415358194525,6.300000000000001,6.300000000000001,18.68324693592292,18.68324693592292,4.0,20297.7208126278,0.0
M0016,S1,lat_lon:45:12:0.3:99.995:global:3,430,439,381,539.0,0.45,detected,1.5733311689884184,7.85,7.85,2.681256530928743,3.248420717492537,0.0,0.0,1.0
M0017,S1,lat_lon:45:12:0.3:99.995:global:3,366,373,315,473.0,0.35,detected,2.716204992407961,7.85,7.85,4.617783981136543,4.946410842305137,0.0,0.0,1.0
M0018,S1,lat_lon:45:12:0.3:99.995:global:3,282,289,231,389.0,0.35,detected,2.041468867842481,7.85,7.85,4.213024118512313,4.772023907905471,0.0,0.0,1.0
M0019,S1,lat_lon:45:12:0.3:99.995:global:3,314,322,264,422.0,0.4,detected,4.010498907350643,7.2,7.2,3.432813460790439,5.011087155983191,3.0,1089.4743793583941,1.0
M0020,S1,lat_lon:45:12:0.3:99.995:global:3,598,616,558,716.0,0.9,detected,1.0467957737038984,7.85,7.85,3.1923902383029623,3.873617504743755,0.0,0.0,1.0
M0021,S1,lat_lon:45:12:0.3:99.995:global:3,752,766,708,866.0,0.7,detected,1.6384140146754265,7.85,7.85,3.127703702836367,3.461346576217466,0.0,0.0,1.0
M0022,S1,lat_lon:45:12:0.3:99.995:global:3,1234,1240,1182,1340.0,0.3,detected,2.2301978576706247,7.85,7.85,2.711311402697583,4.8566698971954825,0.0,0.0,1.0
M0023,S1,lat_lon:45:12:0.3:99.995:global:3,502,511,453,611.0,0.45,detected,2.605458242393652,6.65,6.65,4.488604249800293,5.253661865281307,0.0,0.0,1.0
M0024,S1,lat_lon:45:12:0.3:99.995:global:3,334,340,282,440.0,0.3,detected,2.254743324391701,7.85,7.85,3.550338171496171,4.735054772642064,0.0,0.0,1.0
M0025,S1,lat_lon:45:12:0.3:99.995:global:3,340,355,297,455.0,0.75,detected,2.531520809246976,7.85,7.85,2.064734744516228,3.604806873395936,0.0,0.0,1.0
