mission_id,scenario,deviation_at_handover_m,matched_baseline_row,match_residual_m,along_track_lag_rows,along_track_lag_m,along_track_lag_s,baseline_duration_s,mission_delay_pct,recovered_within_5m
M0000,S1,4.410403673927406,815,0.7398394717025717,-9,-4.140890869423629,-0.45,40.75,0.0,1
M0001,S1,6.120329300752962,556,5.669814655542518,4,2.0697767842707435,0.2,27.8,0.7194244604316546,0
M0002,S1,5.07207367388325,768,5.057419217657916,-1,-0.3673702436617532,-0.05,38.400000000000006,0.0,0
M0003,S1,6.622749858528028,1050,0.2013786507035086,-14,-6.6503089414999295,-0.7000000000000001,52.5,0.0,0
M0004,S1,5.381908326981654,616,3.933934861411242,-8,-3.63547998997808,-0.4,30.8,0.0,0
M0005,S1,3.3484374983423937,274,1.7852722922207065,-8,-2.9057344743163758,-0.4,13.7,0.0,1
M0006,S1,3.798671529223428,926,0.3020659305130775,-9,-3.774376674075597,-0.45,46.3,0.0,1
M0007,S1,6.9738933758848605,1304,6.290041229125226,-9,-2.839209914721266,-0.45,65.2,0.0,0
M0008,S1,1.4666781950691967,609,1.4666781950691967,0,0.0,0.0,30.450000000000003,0.0,1
M0009,S1,4.112844376292106,853,2.8491779643133617,-8,-2.947423986724857,-0.4,42.650000000000006,0.0,1
M0010,S1,7.590913629980621,938,7.178702765331443,6,2.5513784299042754,0.3,46.900000000000006,0.6396588486140725,0
M0011,S1,6.86588312003282,1120,2.726970480334126,-14,-6.100386098283934,-0.7000000000000001,56.0,0.0,0
M0012,S1,5.613926588741171,481,2.9091064113846685,-11,-4.606780241238482,-0.55,24.05,0.0,0
M0013,S1,5.390613634121919,544,4.9800414625593765,7,2.381543625051279,0.35,27.200000000000003,1.286764705882353,0
M0014,S1,2.9902376759995675,487,0.4833965406386657,-8,-2.865083048358514,-0.4,24.35,0.0,1
M0015,S1,5.789370378209329,608,5.619032962902864,3,1.3819125599135873,0.15,30.4,0.4934210526315789,0
M0016,S1,6.828253807995333,416,6.620003481317118,6,1.870931689644792,0.3,20.8,1.4423076923076923,0
M0017,S1,5.186230950378968,353,5.071001277433969,3,1.2884381263470177,0.15,17.650000000000002,0.8498583569405099,0
M0018,S1,3.513898220083783,279,2.2766148784753044,-7,-2.871099725064269,-0.35,13.95,0.0,1
M0019,S1,6.244822470772916,303,6.17128699160873,2,0.9957792999347816,0.1,15.15,0.6600660066006601,0
M0020,S1,3.58214874089355,615,3.305787908823985,4,1.4496743292492908,0.2,30.75,0.6504065040650406,1
M0021,S1,0.3063490274844277,750,0.0632230258509324,-1,-0.326246985226021,-0.05,37.5,0.0,1
M0022,S1,2.444405859546928,1227,1.9358733915657356,-4,-1.491748224510843,-0.2,61.35,0.0,1
M0023,S1,2.03393885250828,535,1.159163537547912,-5,-1.529112517232079,-0.25,26.75,0.0,1
M0024,S1,2.844943583593349,327,2.349347438208332,-4,-1.865062711489884,-0.2,16.35,0.0,1
M0025,S1,7.387908696426343,366,0.6508705639189413,-16,-7.498752584819613,-0.8,18.3,0.0,0
M0026,S1,2.8310066846008217,357,2.7382336520809414,-2,-0.9374953949208304,-0.1,17.85,0.0,1
M0027,S1,3.602252425213288,1186,3.602252425213288,0,0.0,0.0,59.3,0.0,1
M0028,S1,2.743716160292945,311,2.742833481026817,1,0.3876037268824035,0.05,15.55,0.3215434083601286,1
M0029,S1,4.949237421321163,980,4.781874673581795,-3,-1.4893753403077312,-0.15,49.0,0.0,1
M0030,S1,5.077634773898043,897,2.728135342966844,-12,-4.077078133700979,-0.6000000000000001,44.85,0.0,0
M0031,S1,5.77390983061296,480,5.768917163394764,-1,-0.394545439264931,-0.05,24.0,0.0,0
M0032,S1,3.565658860671453,756,3.113525248890466,-4,-1.6604924275420103,-0.2,37.8,0.0,1
M0033,S1,3.157270460877421,1377,3.1347670083102326,-1,-0.4033927247770634,-0.05,68.85000000000001,0.0,1
M0034,S1,2.757516948390947,456,2.6944869645238736,2,0.7420465033284813,0.1,22.8,0.4385964912280701,1
M0035,S1,6.775805418476592,312,6.770600704993435,-1,-0.3757781132219975,-0.05,15.6,0.0,0
M0036,S1,11.718811992640235,806,3.88308641671286,-32,-10.69482665405826,-1.6,40.3,0.0,0
M0037,S1,4.583571256302426,369,3.353063749769063,-7,-2.956289256968745,-0.35,18.45,0.0,1
M0038,S1,4.502237887439012,953,2.342232171684744,-12,-3.993200705861796,-0.6000000000000001,47.650000000000006,0.0,1
M0039,S1,4.719100765054511,325,4.577562062517212,3,1.131853645857717,0.15,16.25,0.9230769230769232,1
M0040,S1,2.154140563244184,703,2.055210784615072,-1,-0.452588415256173,-0.05,35.15,0.0,1
M0041,S1,7.890954467278588,189,0.99433922102166,20,7.852228472599691,1.0,9.45,10.582010582010582,0
M0042,S1,4.226024461257161,327,3.998340223485856,-4,-1.3184012655807609,-0.2,16.35,0.0,1
M0043,S1,4.330217368701844,849,4.220544300071007,-2,-0.9708448913796132,-0.1,42.45,0.0,1
M0044,S1,7.309006439090016,296,0.9448254049347536,-22,-7.181052801543743,-1.1,14.8,0.0,0
M0045,S1,3.834744476751739,589,1.913102863176072,-8,-3.3614935555845875,-0.4,29.450000000000003,0.0,1
M0046,S1,1.7527326302089832,793,0.9809908704987608,-3,-1.4675101056325277,-0.15,39.650000000000006,0.0,1
M0047,S1,3.5380683731008165,1203,3.423639161647674,2,0.8507527738029239,0.1,60.150000000000006,0.1662510390689942,1
M0048,S1,9.792547230090529,1206,8.133805409728303,14,5.248531989106084,0.7000000000000001,60.3,1.1608623548922057,0
M0049,S1,6.45320239407899,1598,6.45320239407899,0,0.0,0.0,79.9,0.0,0
M0050,S1,7.134900968753531,1142,6.879209771370999,6,1.9973988167710104,0.3,57.1,0.5253940455341506,0
M0051,S1,6.767780170268182,346,6.379039554746755,-5,-2.394856575799736,-0.25,17.3,0.0,0
M0052,S1,3.6183778915286817,958,0.6026097050780623,-8,-3.647820217728565,-0.4,47.900000000000006,0.0,1
M0053,S1,4.4036829108212165,894,3.657065767955509,8,2.451223538149065,0.4,44.7,0.8948545861297539,1
M0054,S1,5.931248887836656,985,4.57438117665113,-8,-3.717243074471355,-0.4,49.25,0.0,0
M0055,S1,13.252859253998835,682,0.6848768952065167,-40,-13.385481181398518,-2.0,34.1,0.0,0
M0056,S1,6.439525669574915,564,5.728447652881685,-7,-2.750421594397352,-0.35,28.200000000000003,0.0,0
M0057,S1,3.72341683906091,1344,3.1431892871059484,5,1.923034372807024,0.25,67.2,0.3720238095238095,1
M0058,S1,5.921754540309258,206,1.8404669770776771,-14,-5.734243444386408,-0.7000000000000001,10.3,0.0,0
M0059,S1,1.7932887625597418,526,0.3702882213331966,4,1.6173069664507975,0.2,26.3,0.7604562737642585,1
M0060,S1,2.8564521204325253,298,2.2276122237658136,-5,-1.7177815034840336,-0.25,14.9,0.0,1
M0061,S1,11.579310149119731,720,2.405000801598796,-34,-11.02997563755315,-1.7000000000000002,36.0,0.0,0
M0062,S1,5.58878769245169,401,5.58878769245169,0,0.0,0.0,20.05,0.0,0
M0063,S1,0.5998781608782042,860,0.5998781608782042,0,0.0,0.0,43.0,0.0,1
M0064,S1,0.6014559272398515,665,0.6014559272398515,0,0.0,0.0,33.25,0.0,1
M0065,S1,2.063163733188154,1056,1.7938800991285244,2,0.9308067308843988,0.1,52.8,0.1893939393939394,1
M0066,S1,4.602092071431451,290,0.8294696688542664,-15,-4.576941356098388,-0.75,14.5,0.0,1
M0067,S1,15.0649467515467,152,9.61354099857548,24,11.075886537072442,1.2000000000000002,7.6,15.789473684210526,0
M0068,S1,7.461058180464407,1158,0.5697557470564821,-23,-7.390869932958651,-1.15,57.900000000000006,0.0,0
M0069,S1,2.7659126788277786,345,1.8801324876724372,-4,-2.05501179040985,-0.2,17.25,0.0,1
M0070,S1,6.565834198286697,478,3.264978310719436,13,5.622718669804385,0.65,23.9,2.719665271966527,0
M0071,S1,3.2177271887750765,872,3.0446578562303697,-3,-1.23808032815856,-0.15,43.6,0.0,1
